USER_ID,FULL_NAME,text
169,Maximo McCauley,CyberSphere Building a recommendation engine based on user behavior analysis   Kanban Advance
169,Maximo McCauley,DataBlast Designing a decentralized social media platform for censorship-resistant communication   Kanban Advance
169,Maximo McCauley,ByteGenius Designing a decentralized content delivery network (CDN) for distributed content distribution   Kanban Advance
158,Kania Haggus,CodeCraft Building a blockchain-based decentralized exchange (DEX) for tokenized asset trading Microsoft Certified: Azure Fundamentals Artificial Intelligence Beginner
158,Kania Haggus,CodeCraft Building a blockchain-based decentralized exchange (DEX) for tokenized asset trading Google Professional Cloud Network Engineer Artificial Intelligence Beginner
158,Kania Haggus,CodeCraft Building a blockchain-based decentralized exchange (DEX) for tokenized asset trading AWS Certified DevOps Engineer - Professional Artificial Intelligence Beginner
158,Kania Haggus,CodeCraft Building a blockchain-based decentralized exchange (DEX) for tokenized asset trading Certified Information Security Manager (CISM) Artificial Intelligence Beginner
158,Kania Haggus,CodeWave Building a machine learning model for predictive analytics in cybersecurity Microsoft Certified: Azure Fundamentals Artificial Intelligence Beginner
158,Kania Haggus,CodeWave Building a machine learning model for predictive analytics in cybersecurity Google Professional Cloud Network Engineer Artificial Intelligence Beginner
158,Kania Haggus,CodeWave Building a machine learning model for predictive analytics in cybersecurity AWS Certified DevOps Engineer - Professional Artificial Intelligence Beginner
158,Kania Haggus,CodeWave Building a machine learning model for predictive analytics in cybersecurity Certified Information Security Manager (CISM) Artificial Intelligence Beginner
158,Kania Haggus,PixelCloud Designing a decentralized exchange (DEX) aggregator for optimized token trading Microsoft Certified: Azure Fundamentals Artificial Intelligence Beginner
158,Kania Haggus,PixelCloud Designing a decentralized exchange (DEX) aggregator for optimized token trading Google Professional Cloud Network Engineer Artificial Intelligence Beginner
158,Kania Haggus,PixelCloud Designing a decentralized exchange (DEX) aggregator for optimized token trading AWS Certified DevOps Engineer - Professional Artificial Intelligence Beginner
158,Kania Haggus,PixelCloud Designing a decentralized exchange (DEX) aggregator for optimized token trading Certified Information Security Manager (CISM) Artificial Intelligence Beginner
299,Taite Tipping,DataWorks Implementing a decentralized autonomous organization (DAO) for decentralized governance Cisco Certified Entry Networking Technician (CCENT) Java Intermediate
299,Taite Tipping,DataWorks Implementing a decentralized autonomous organization (DAO) for decentralized governance AWS Certified Solutions Architect - Professional Java Intermediate
362,Nigel Lewing,InnovateMatrix Designing a decentralized exchange (DEX) aggregator for optimized token trading Certified Information Systems Auditor (CISA) TypeScript Beginner
149,Christiane Sharer,TechNest Developing a chatbot using natural language processing for customer support Microsoft Certified: Azure Administrator Associate Vue.js Beginner
149,Christiane Sharer,AppNexus Developing a decentralized autonomous organization (DAO) governance model Microsoft Certified: Azure Administrator Associate Vue.js Beginner
149,Christiane Sharer,CyberBlast Designing a decentralized storage network for distributed file storage Microsoft Certified: Azure Administrator Associate Vue.js Beginner
211,Tedra Woolmington,AppSphere Developing a decentralized prediction market platform for crowd-sourced forecasting   GraphQL Beginner
398,Lettie Load,InnovateMatrix Building a content management system with headless CMS architecture Project Management Professional (PMP) Scrum Beginner
398,Lettie Load,PixelForge Implementing a decentralized finance (DeFi) derivatives platform for risk management Project Management Professional (PMP) Scrum Beginner
398,Lettie Load,CodeSavvy Developing a cybersecurity solution for threat detection and response Project Management Professional (PMP) Scrum Beginner
282,Marty Nortcliffe,CodeCraft Implementing a distributed ledger technology for supply chain transparency   Jenkins Advance
225,Gwenora Arne,CyberMatrix Implementing a decentralized identity management solution using decentralized identifiers (DIDs)   Express.js Beginner
80,Brantley Barbera,InnovateMatrix Designing a federated authentication system for seamless user access Microsoft Certified: Azure Administrator Associate Rust Beginner
80,Brantley Barbera,InnovateMatrix Designing a federated authentication system for seamless user access Microsoft Certified: Azure Developer Associate Rust Beginner
80,Brantley Barbera,InnovateMatrix Designing a federated authentication system for seamless user access Cisco Certified Network Associate (CCNA) Rust Beginner
80,Brantley Barbera,InnovateMatrix Designing a federated authentication system for seamless user access Google Professional Machine Learning Engineer Rust Beginner
80,Brantley Barbera,CodePulse Building a decentralized application (DApp) ecosystem for decentralized finance (DeFi) Microsoft Certified: Azure Administrator Associate Rust Beginner
80,Brantley Barbera,CodePulse Building a decentralized application (DApp) ecosystem for decentralized finance (DeFi) Microsoft Certified: Azure Developer Associate Rust Beginner
80,Brantley Barbera,CodePulse Building a decentralized application (DApp) ecosystem for decentralized finance (DeFi) Cisco Certified Network Associate (CCNA) Rust Beginner
80,Brantley Barbera,CodePulse Building a decentralized application (DApp) ecosystem for decentralized finance (DeFi) Google Professional Machine Learning Engineer Rust Beginner
80,Brantley Barbera,CyberBlast Implementing a decentralized autonomous organization (DAO) for decentralized governance Microsoft Certified: Azure Administrator Associate Rust Beginner
80,Brantley Barbera,CyberBlast Implementing a decentralized autonomous organization (DAO) for decentralized governance Microsoft Certified: Azure Developer Associate Rust Beginner
80,Brantley Barbera,CyberBlast Implementing a decentralized autonomous organization (DAO) for decentralized governance Cisco Certified Network Associate (CCNA) Rust Beginner
80,Brantley Barbera,CyberBlast Implementing a decentralized autonomous organization (DAO) for decentralized governance Google Professional Machine Learning Engineer Rust Beginner
80,Brantley Barbera,DataNest Developing a scalable web application using microservices architecture Microsoft Certified: Azure Administrator Associate Rust Beginner
80,Brantley Barbera,DataNest Developing a scalable web application using microservices architecture Microsoft Certified: Azure Developer Associate Rust Beginner
